invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country,total_price,year,month,day,weekday,hour
536370,POST,POSTAGE,3,2010-12-01 08:45:00,18.0,12583.0,France,54.0,2010,12,1,2,8
536403,POST,POSTAGE,1,2010-12-01 11:27:00,15.0,12791.0,Netherlands,15.0,2010,12,1,2,11
536527,POST,POSTAGE,1,2010-12-01 13:04:00,18.0,12662.0,Germany,18.0,2010,12,1,2,13
536540,C2,CARRIAGE,1,2010-12-01 14:05:00,50.0,14911.0,EIRE,50.0,2010,12,1,2,14
536779,BANK CHARGES,Bank Charges,1,2010-12-02 15:08:00,15.0,15823.0,United Kingdom,15.0,2010,12,2,3,15
536840,POST,POSTAGE,1,2010-12-02 18:27:00,18.0,12738.0,Germany,18.0,2010,12,2,3,18
536852,POST,POSTAGE,1,2010-12-03 09:51:00,18.0,12686.0,France,18.0,2010,12,3,4,9
536858,POST,POSTAGE,2,2010-12-03 10:36:00,40.0,13520.0,Switzerland,80.0,2010,12,3,4,10
536861,POST,POSTAGE,3,2010-12-03 10:44:00,18.0,12427.0,Germany,54.0,2010,12,3,4,10
536967,POST,POSTAGE,1,2010-12-03 12:57:00,18.0,12600.0,Germany,18.0,2010,12,3,4,12
536974,POST,POSTAGE,2,2010-12-03 13:59:00,18.0,12682.0,France,36.0,2010,12,3,4,13
536983,POST,POSTAGE,1,2010-12-03 14:30:00,18.0,12712.0,Germany,18.0,2010,12,3,4,14
536990,POST,POSTAGE,1,2010-12-03 15:14:00,28.0,12793.0,Portugal,28.0,2010,12,3,4,15
537022,POST,POSTAGE,2,2010-12-03 15:45:00,28.0,12725.0,Italy,56.0,2010,12,3,4,15
537026,POST,POSTAGE,2,2010-12-03 16:35:00,18.0,12395.0,Belgium,36.0,2010,12,3,4,16
537197,POST,POSTAGE,3,2010-12-05 14:02:00,18.0,12647.0,Germany,54.0,2010,12,5,6,14
537197,22841,ROUND CAKE TIN VINTAGE GREEN,1,2010-12-05 14:02:00,0.0,12647.0,Germany,0.0,2010,12,5,6,14
537198,POST,POSTAGE,1,2010-12-05 14:03:00,18.0,12647.0,Germany,18.0,2010,12,5,6,14
537201,POST,POSTAGE,6,2010-12-05 14:19:00,18.0,12472.0,Germany,108.0,2010,12,5,6,14
537212,POST,POSTAGE,4,2010-12-05 15:21:00,18.0,12720.0,Germany,72.0,2010,12,5,6,15
